lat,lon,EventNumber
-80.0379,169.173,3408553
-80.1132,169.162,3408554
-80.1384,169.156,3408558
-80.063,169.17,3408579
-80.0379,169.173,3408586
-80.1132,169.162,3408590
-80.1384,169.156,3408595
-80.0131,169.175,3408620
-80.1141,178.467,3408623
-80.1387,169.156,3408666
-80.1141,178.467,3408678
-80.1391,169.155,3408697
-80.0161,163.083,3408707
-80.1407,176.533,3408714
-80.1391,169.155,3408716
-80.1391,169.155,3408720
-80.1391,169.155,3408724
-80.1391,169.155,3408735
-80.0386,169.173,3408739
-80.0134,169.175,3408750
-80.0389,169.173,3408806
-80.1395,169.155,3408808
-80.1395,169.155,3408816
-80.1416,176.535,3408832
-80.1398,169.155,3408838
-80.1398,169.155,3408839
-80.1398,169.155,3408870
-80.1398,169.155,3408886
-80.0896,169.165,3408898
-80.081,178.434,3408902
-80.1402,169.154,3408910
-80.1402,169.154,3408911
-80.1421,176.536,3408932
-80.0169,163.081,3408934
-80.0397,169.172,3408946
-80.0397,169.172,3408952
-80.1402,169.154,3408966
-80.1405,169.154,3409024
-80.0903,169.165,3409028
-80.04,169.172,3409029
-80.1405,169.154,3409030
-80.04,169.172,3409034
-80.1164,178.475,3409038
-80.1164,178.475,3409042
-80.1405,169.154,3409043
-80.04,169.172,3409014
-80.0819,178.437,3409046
-80.1405,169.154,3409048
-80.1405,169.154,3409050
-80.1405,169.154,3409062
-80.0404,169.172,3409070
-80.1409,169.154,3409074
-80.0404,169.172,3409081
-80.1409,169.154,3409091
-80.1168,178.477,3409095
-80.0174,163.08,3409104
-80.0404,169.172,3409121
-80.1409,169.154,3409122
-80.0152,169.174,3409135
-80.1434,176.539,3409171
-80.1161,169.159,3409174
-80.1413,169.154,3409188
-80.0162,169.173,3409223
-80.0379,165.49,3409226
-80.1419,169.153,3409230
-80.1419,169.153,3409234
-80.167,169.146,3409236
-80.0665,169.168,3409263
-80.1419,169.153,3409274
-80.167,169.146,3409288
-80.0919,169.164,3409291
-80.2426,169.12,3409295
-80.117,169.159,3409298
-80.0416,169.171,3409324
-80.0416,169.171,3409327
-80.1421,169.153,3409330
-80.1421,169.153,3409331
-80.0416,169.171,3409339
-80.117,169.159,3409343
-80.1421,169.153,3409346
-80.0416,169.171,3409351
-80.0416,169.171,3409355
-80.0416,169.171,3409365
-80.1421,169.153,3409366
-80.1172,169.158,3409368
-80.0418,169.17,3409372
-80.0669,169.167,3409394
-80.1423,169.153,3409399
-80.1423,169.153,3409400
-80.1423,169.153,3409422
-80.0669,169.167,3409424
-80.1172,169.158,3409425
-80.1174,169.158,3409454
-80.1189,178.485,3409470
-80.042,169.17,3409480
-80.1425,169.152,3409504
-80.042,169.17,3409506
-80.042,169.17,3409523
-80.1453,176.543,3409534
-80.1453,176.543,3409544
-80.0678,169.166,3409682
-80.0428,169.169,3409788
-80.1434,169.151,3409794
-80.144,169.15,3409971
-80.0434,169.168,3410035
-80.0437,169.168,3410038
-80.1487,169.146,3410815
-80.1471,169.144,3411219
-80.1471,169.144,3411220
-80.1471,169.144,3411222
-80.0968,169.156,3411225
-80.1219,169.15,3411227
-80.1242,178.517,3411231
-80.01,169.15,3413690
-80.0073,169.149,3413770
-80.0734,169.138,3414267
-80.0904,169.132,3414641
-80.0576,169.131,3415234
-80.083,169.127,3415241
-80.0579,169.131,3415254
-80.0327,169.133,3415294
-80.0833,169.126,3415326
-80.0078,169.134,3415351
-80.0583,169.129,3415374
-80.0583,169.129,3415386
-80.0835,169.126,3415388
