lat,lon,EventNumber
-79.312,-114.68,21672877
-79.4642,-114.668,21673562
-77.6462,-100.693,21674122
-79.5529,-114.662,21675021
-79.186,-114.725,21675176
-79.4882,-114.687,21675736
-79.912,-114.431,21676828
-79.3759,-114.701,21677155
-79.4893,-114.672,21677177
-78.4744,-97.8192,21678196
-79.3559,-114.697,21678981
-79.3571,-114.697,21679023
-78.8562,-98.8555,21680048
-79.5688,-114.635,21680237
-79.4507,-114.673,21681027
-78.7432,-98.6005,21681143
-79.8039,-115.429,21681825
-82.122,-106.921,21682297
-79.448,-114.706,21682435
-79.339,-114.749,21683188
-79.2444,-114.778,21684102
-79.356,-114.775,21684323
-78.9253,-99.36,21685782
-78.6761,-97.9626,21685894
-79.1184,-114.779,21686723
-79.2189,-114.787,21686841
-82.2277,-106.157,21687598
-79.0939,-114.769,21687659
-79.3622,-114.772,21688123
-78.9756,-115.542,21688816
-79.0665,-115.577,21689784
-79.0811,-114.775,21690526
-76.8979,-112.008,21690705
